Varmfrontsgatan, Läge A
Temperaturgatan, Läge A
Väderilsgatan, Läge A
Friskväderstorget, Läge A
Önskevädersgatan, Läge A
Mildvädersgatan, Läge A
Vårväderstorget, Läge A
Sälöfjordsgatan, Läge A
Eketrägatan, Läge A
Gropegårdsgatan, Läge A
Rambergsvallen, Läge A
Wieselgrensplatsen, Läge A
Vågmästareplatsen, Läge A
"Hjalmar Brantingsplatsen", Läge A
Frihamnen, Läge A
Nordstan, Läge A
Brunnsparken, Läge A
Domkyrkan, Läge A
Grönsakstorget, Läge A
Hagakyrkan, Läge A
Järntorget, Läge A
Prinsgatan, Läge A
Olivedalsgatan, Läge A
Linnéplatsen, Läge A
"Sahlgrenska Huvudentré", Läge A
Medicinaregatan, Läge A
"Wavrinskys Plats", Läge A
Chalmers, Läge A
Korsvägen, Läge A
Scandinavium, Läge A
"Ullevi Södra", Läge A
"Ullevi Norra", Läge A
Svingeln, Läge A
Olskrokstorget, Läge A
Redbergsplatsen, Läge A
Ejdergatan, Läge A
"Gamlestads Torg", Läge A
SKF, Läge A
Bellevue, Läge A
Kviberg, Läge A
Beväringsgatan, Läge A
Nymånegatan, Läge A
Runstavsgatan, Läge A
"Kortedala Torg", Läge A
Allhelgonakyrkan, Läge A
Aprilgatan, Läge A
