Aprilgatan, Läge B
Allhelgonakyrkan, Läge B
"Kortedala Torg", Läge B
Runstavsgatan, Läge B
Nymånegatan, Läge B
Beväringsgatan, Läge B
Kviberg, Läge B
Bellevue, Läge B
SKF, Läge B
"Gamlestads Torg", Läge B
Ejdergatan, Läge B
Redbergsplatsen, Läge B
Olskrokstorget, Läge B
Svingeln, Läge B
"Ullevi Norra", Läge B
"Ullevi Södra", Läge B
Scandinavium, Läge B
Korsvägen, Läge B
Chalmers, Läge B
"Wavrinskys Plats", Läge B
Medicinaregatan, Läge B
"Sahlgrenska Huvudentré", Läge B
Linnéplatsen, Läge B
Olivedalsgatan, Läge B
Prinsgatan, Läge B
Järntorget, Läge B
Hagakyrkan, Läge B
Grönsakstorget, Läge B
Domkyrkan, Läge B
Brunnsparken, Läge B
Nordstan, Läge B
Frihamnen, Läge B
"Hjalmar Brantingsplatsen", Läge B
Vågmästareplatsen, Läge B
Wieselgrensplatsen, Läge B
Rambergsvallen, Läge B
Gropegårdsgatan, Läge B
Eketrägatan, Läge B
Sälöfjordsgatan, Läge B
Vårväderstorget, Läge B
Mildvädersgatan, Läge B
Önskevädersgatan, Läge B
Friskväderstorget, Läge B
Väderilsgatan, Läge B
Temperaturgatan, Läge B
Varmfrontsgatan, Läge B
