Komettorget, Läge B
Rymdtorget, Läge B
Teleskopgatan, Läge B
"Galileis Gata", Läge B
Januarigatan, Läge B
Allhelgonakyrkan, Läge B
"Kortedala Torg", Läge B
Runstavsgatan, Läge B
Nymånegatan, Läge B
Beväringsgatan, Läge B
Kviberg, Läge B
Bellevue, Läge B
SKF, Läge B
"Gamlestads Torg", Läge B
Centralstationen, Läge B
Brunnsparken, Läge B
Kungsportsplatsen, Läge B
Valand, Läge B
Vasaplatsen, Läge B
Kapellplatsen, Läge B
Chalmers, Läge B
"Wavrinskys Plats", Läge B
Medicinaregatan, Läge B
"Sahlgrenska Huvudentré", Läge B
"Botaniska Trädgården", Läge B
Marklandsgatan, Läge B
"Axel Dahlströms Torg", Läge B
Lantmilsgatan, Läge B
Nymilsgatan, Läge B
Musikvägen, Läge B
Positivgatan, Läge B
"Frölunda Torg", Läge B
Briljantgatan, Läge B
Smaragdgatan, Läge B
Opaltorget, Läge B
