"Frölunda Torg", Läge A
Positivgatan, Läge A
Musikvägen, Läge A
Nymilsgatan, Läge A
Lantmilsgatan, Läge A
"Axel Dahlströms Torg", Läge A
Marklandsgatan, Läge A
"Botaniska Trädgården", Läge A
"Sahlgrenska Huvudentré", Läge A
Medicinaregatan, Läge A
"Wavrinskys Plats", Läge A
Chalmers, Läge A
Korsvägen, Läge A
Scandinavium, Läge A
"Ullevi Södra", Läge A
"Ullevi Norra", Läge A
Svingeln, Läge A
Olskrokstorget, Läge A
Redbergsplatsen, Läge A
Ejdergatan, Läge A
"Gamlestads Torg", Läge A
Hjällbo, Läge A
Hammarkullen, Läge A
Storås, Läge A
"Angered Centrum", Läge A
